Exception_ID,Rule_ID,Record_ID,Severity,Description,Action_Taken
EX-00043,DQ-01,CS-2026-011210,High,Duplicate Case_ID.,First occurrence retained
EX-00044,DQ-01,CS-2026-003417,High,Duplicate Case_ID.,First occurrence retained
EX-00045,DQ-01,CS-2026-014808,High,Duplicate Case_ID.,First occurrence retained
EX-00046,DQ-01,CS-2026-004386,High,Duplicate Case_ID.,First occurrence retained
EX-00047,DQ-01,CS-2026-011073,High,Duplicate Case_ID.,First occurrence retained
EX-00048,DQ-01,CS-2026-013614,High,Duplicate Case_ID.,First occurrence retained
EX-00049,DQ-01,CS-2026-002375,High,Duplicate Case_ID.,First occurrence retained
EX-00050,DQ-01,CS-2026-015214,High,Duplicate Case_ID.,First occurrence retained
EX-00051,DQ-01,CS-2026-003251,High,Duplicate Case_ID.,First occurrence retained
EX-00052,DQ-01,CS-2026-008082,High,Duplicate Case_ID.,First occurrence retained
EX-00053,DQ-01,CS-2026-013053,High,Duplicate Case_ID.,First occurrence retained
EX-00054,DQ-01,CS-2026-014014,High,Duplicate Case_ID.,First occurrence retained
EX-00055,DQ-01,CS-2026-011323,High,Duplicate Case_ID.,First occurrence retained
EX-00056,DQ-02,CS-2026-004262,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00057,DQ-02,CS-2026-002507,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00058,DQ-02,CS-2026-002911,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00059,DQ-02,CS-2026-015677,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00060,DQ-02,CS-2026-014964,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00061,DQ-02,CS-2026-008647,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00062,DQ-02,CS-2026-002484,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00063,DQ-02,CS-2026-008963,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00064,DQ-02,CS-2026-003551,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00065,DQ-02,CS-2026-015882,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00066,DQ-02,CS-2026-001366,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00067,DQ-02,CS-2026-002231,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00068,DQ-02,CS-2026-004574,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00069,DQ-02,CS-2026-001094,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00070,DQ-02,CS-2026-003525,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00071,DQ-02,CS-2026-008915,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00072,DQ-02,CS-2026-012297,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00073,DQ-02,CS-2026-006779,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00074,DQ-02,CS-2026-000865,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00075,DQ-02,CS-2026-007277,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00076,DQ-02,CS-2026-015915,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00077,DQ-02,CS-2026-008641,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00078,DQ-02,CS-2026-010283,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00079,DQ-02,CS-2026-006471,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00080,DQ-02,CS-2026-013666,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00081,DQ-02,CS-2026-007718,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00082,DQ-02,CS-2026-005520,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00083,DQ-02,CS-2026-014668,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00084,DQ-02,CS-2026-014968,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00085,DQ-02,CS-2026-004693,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00086,DQ-02,CS-2026-012769,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00087,DQ-02,CS-2026-010470,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00088,DQ-02,CS-2026-008945,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00089,DQ-02,CS-2026-000185,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00090,DQ-02,CS-2026-005104,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00091,DQ-02,CS-2026-007292,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00092,DQ-02,CS-2026-006060,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00093,DQ-02,CS-2026-001277,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00094,DQ-02,CS-2026-009889,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00095,DQ-02,CS-2026-015434,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00096,DQ-02,CS-2026-001714,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00097,DQ-02,CS-2026-010129,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00098,DQ-02,CS-2026-013229,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00099,DQ-02,CS-2026-014229,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00100,DQ-02,CS-2026-005286,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00101,DQ-02,CS-2026-003528,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00102,DQ-02,CS-2026-000935,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00103,DQ-02,CS-2026-013427,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00104,DQ-02,CS-2026-007130,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00105,DQ-02,CS-2026-015222,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00106,DQ-02,CS-2026-008793,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00107,DQ-02,CS-2026-013838,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00108,DQ-02,CS-2026-007517,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00109,DQ-02,CS-2026-008109,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00110,DQ-02,CS-2026-003546,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00111,DQ-02,CS-2026-013596,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00112,DQ-02,CS-2026-011605,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00113,DQ-02,CS-2026-010732,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00114,DQ-02,CS-2026-009682,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00115,DQ-02,CS-2026-013671,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00116,DQ-02,CS-2026-003328,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00117,DQ-02,CS-2026-013426,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00118,DQ-02,CS-2026-004303,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00119,DQ-02,CS-2026-006474,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00120,DQ-02,CS-2026-002105,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00121,DQ-02,CS-2026-014332,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00122,DQ-02,CS-2026-004187,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00123,DQ-02,CS-2026-012896,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00124,DQ-02,CS-2026-006209,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00125,DQ-02,CS-2026-004074,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00126,DQ-02,CS-2026-008196,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00127,DQ-02,CS-2026-003702,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00128,DQ-02,CS-2026-014213,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00129,DQ-02,CS-2026-004510,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00130,DQ-02,CS-2026-014709,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00131,DQ-02,CS-2026-001066,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00132,DQ-02,CS-2026-012892,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00133,DQ-02,CS-2026-002479,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00134,DQ-02,CS-2026-008242,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00135,DQ-02,CS-2026-012290,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00136,DQ-02,CS-2026-006597,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00137,DQ-02,CS-2026-000138,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00138,DQ-02,CS-2026-004449,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00139,DQ-02,CS-2026-009413,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00140,DQ-02,CS-2026-014631,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00141,DQ-02,CS-2026-000842,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00142,DQ-02,CS-2026-009548,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00143,DQ-02,CS-2026-010370,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00144,DQ-02,CS-2026-012166,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00145,DQ-02,CS-2026-005886,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00146,DQ-02,CS-2026-007227,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00147,DQ-02,CS-2026-012622,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00148,DQ-02,CS-2026-006566,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00149,DQ-02,CS-2026-004586,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00150,DQ-02,CS-2026-010631,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00151,DQ-02,CS-2026-008905,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00152,DQ-02,CS-2026-010044,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00153,DQ-02,CS-2026-014470,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00154,DQ-02,CS-2026-013580,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00155,DQ-02,CS-2026-010341,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00156,DQ-02,CS-2026-009229,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00157,DQ-02,CS-2026-010264,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00158,DQ-02,CS-2026-004892,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00159,DQ-02,CS-2026-007656,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00160,DQ-02,CS-2026-008925,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00161,DQ-02,CS-2026-014564,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00162,DQ-02,CS-2026-005162,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00163,DQ-02,CS-2026-009763,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00164,DQ-02,CS-2026-005717,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00165,DQ-02,CS-2026-007308,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00166,DQ-02,CS-2026-002629,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00167,DQ-02,CS-2026-011658,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00168,DQ-02,CS-2026-002902,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00169,DQ-02,CS-2026-001041,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00170,DQ-02,CS-2026-001423,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00171,DQ-02,CS-2026-006355,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00172,DQ-02,CS-2026-000806,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00173,DQ-02,CS-2026-015774,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00174,DQ-02,CS-2026-005384,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00175,DQ-02,CS-2026-003226,Low,Priority casing or whitespace did not match the standard.,"Normalized, record retained"
EX-00176,DQ-03,CS-2026-001071,Critical,Unrecognized status 'ON HOLD - LEGAL'.,Excluded from reporting
EX-00177,DQ-03,CS-2026-010418,Critical,Unrecognized status 'ON HOLD - LEGAL'.,Excluded from reporting
EX-00178,DQ-03,CS-2026-000200,Critical,Unrecognized status 'ON HOLD - LEGAL'.,Excluded from reporting
EX-00179,DQ-03,CS-2026-009418,Critical,Unrecognized status 'ON HOLD - LEGAL'.,Excluded from reporting
EX-00180,DQ-03,CS-2026-000964,Critical,Unrecognized status 'ON HOLD - LEGAL'.,Excluded from reporting
EX-00181,DQ-03,CS-2026-005149,Critical,Unrecognized status 'ON HOLD - LEGAL'.,Excluded from reporting
EX-00182,DQ-03,CS-2026-011347,Critical,Unrecognized status 'ON HOLD - LEGAL'.,Excluded from reporting
EX-00183,DQ-03,CS-2026-011696,Critical,Unrecognized status 'ON HOLD - LEGAL'.,Excluded from reporting
EX-00184,DQ-03,CS-2026-001375,Critical,Unrecognized status 'ON HOLD - LEGAL'.,Excluded from reporting
EX-00185,DQ-03,CS-2026-015429,Critical,Unrecognized status 'ON HOLD - LEGAL'.,Excluded from reporting
EX-00186,DQ-03,CS-2026-008454,Critical,Unrecognized status 'ON HOLD - LEGAL'.,Excluded from reporting
EX-00187,DQ-03,CS-2026-002794,Critical,Unrecognized status 'ON HOLD - LEGAL'.,Excluded from reporting
EX-00188,DQ-03,CS-2026-009667,Critical,Unrecognized status 'ON HOLD - LEGAL'.,Excluded from reporting
EX-00189,DQ-03,CS-2026-014010,Critical,Unrecognized status 'ON HOLD - LEGAL'.,Excluded from reporting
EX-00190,DQ-03,CS-2026-009913,Critical,Unrecognized status 'ON HOLD - LEGAL'.,Excluded from reporting
EX-00191,DQ-06,CS-2026-012961,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00192,DQ-06,CS-2026-004574,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00193,DQ-06,CS-2026-010054,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00194,DQ-06,CS-2026-010679,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00195,DQ-06,CS-2026-007716,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00196,DQ-06,CS-2026-000221,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00197,DQ-06,CS-2026-015769,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00198,DQ-06,CS-2026-008675,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00199,DQ-06,CS-2026-003316,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00200,DQ-06,CS-2026-005513,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00201,DQ-06,CS-2026-000365,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00202,DQ-06,CS-2026-009877,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00203,DQ-06,CS-2026-007500,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00204,DQ-06,CS-2026-004432,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00205,DQ-06,CS-2026-005730,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00206,DQ-06,CS-2026-010615,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00207,DQ-06,CS-2026-001824,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00208,DQ-06,CS-2026-003183,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00209,DQ-06,CS-2026-007660,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00210,DQ-06,CS-2026-004008,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00211,DQ-06,CS-2026-013255,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00212,DQ-06,CS-2026-005456,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00213,DQ-06,CS-2026-004966,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00214,DQ-06,CS-2026-007824,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00215,DQ-06,CS-2026-009019,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00216,DQ-06,CS-2026-011373,Critical,Resolved_Date precedes Assigned_Date.,Excluded from reporting
EX-00217,DQ-07,CS-2026-005017,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00218,DQ-07,CS-2026-014804,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00219,DQ-07,CS-2026-004407,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00220,DQ-07,CS-2026-015337,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00221,DQ-07,CS-2026-004263,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00222,DQ-07,CS-2026-003694,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00223,DQ-07,CS-2026-013489,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00224,DQ-07,CS-2026-013698,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00225,DQ-07,CS-2026-005973,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00226,DQ-07,CS-2026-014385,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00227,DQ-07,CS-2026-010046,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00228,DQ-07,CS-2026-008553,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00229,DQ-07,CS-2026-009096,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00230,DQ-07,CS-2026-013596,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00231,DQ-07,CS-2026-013199,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00232,DQ-07,CS-2026-012137,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00233,DQ-07,CS-2026-010935,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00234,DQ-07,CS-2026-003081,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00235,DQ-07,CS-2026-006129,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00236,DQ-07,CS-2026-009509,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00237,DQ-07,CS-2026-015188,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00238,DQ-07,CS-2026-015525,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00239,DQ-07,CS-2026-002358,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00240,DQ-07,CS-2026-015919,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00241,DQ-07,CS-2026-008698,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00242,DQ-07,CS-2026-000274,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00243,DQ-07,CS-2026-013223,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00244,DQ-07,CS-2026-010155,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00245,DQ-07,CS-2026-000626,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00246,DQ-07,CS-2026-014148,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00247,DQ-07,CS-2026-007400,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00248,DQ-07,CS-2026-006950,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00249,DQ-07,CS-2026-009123,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00250,DQ-07,CS-2026-000179,Critical,Status is Resolved but Resolved_Date is missing; SLA cannot be evaluated.,Excluded from reporting
EX-00251,DQ-09,CS-2026-011169,Critical,Assigned_Team not found in team reference data.,Excluded from reporting
EX-00252,DQ-09,CS-2026-007254,Critical,Assigned_Team not found in team reference data.,Excluded from reporting
EX-00253,DQ-09,CS-2026-007895,Critical,Assigned_Team not found in team reference data.,Excluded from reporting
EX-00254,DQ-09,CS-2026-011831,Critical,Assigned_Team not found in team reference data.,Excluded from reporting
EX-00255,DQ-09,CS-2026-007415,Critical,Assigned_Team not found in team reference data.,Excluded from reporting
EX-00256,DQ-09,CS-2026-007153,Critical,Assigned_Team not found in team reference data.,Excluded from reporting
EX-00257,DQ-09,CS-2026-009663,Critical,Assigned_Team not found in team reference data.,Excluded from reporting
EX-00258,DQ-09,CS-2026-009868,Critical,Assigned_Team not found in team reference data.,Excluded from reporting
EX-00259,DQ-09,CS-2026-012423,Critical,Assigned_Team not found in team reference data.,Excluded from reporting
EX-00260,DQ-09,CS-2026-007936,Critical,Assigned_Team not found in team reference data.,Excluded from reporting
EX-00261,DQ-09,CS-2026-014600,Critical,Assigned_Team not found in team reference data.,Excluded from reporting
EX-00262,DQ-09,CS-2026-014038,Critical,Assigned_Team not found in team reference data.,Excluded from reporting
EX-00263,DQ-09,CS-2026-000506,Critical,Assigned_Team not found in team reference data.,Excluded from reporting
EX-00264,DQ-09,CS-2026-006326,Critical,Assigned_Team not found in team reference data.,Excluded from reporting
