Case_ID,Created_Date,Assigned_Date,Resolved_Date,Case_Type,Priority,Assigned_Team,Assigned_Analyst,Routing_Method,Reassignment_Count,Current_Status,SLA_Target_Hours,SLA_Met,Root_Cause,Reopened_Flag,Customer_Segment,Documentation_Gap,Policy_Exception,Historical_Rework_Risk,Estimated_Work_Hours,Assignment_Lag_Hours,Resolution_Hours,Handling_Hours,SLA_Met_Calculated,SLA_Breach_Hours,Score_Case_Type,Score_Priority,Score_Documentation_Gap,Score_Policy_Exception,Score_Rework_Risk,Complexity_Score,Complexity_Band
CS-2026-000049,2026-03-01 10:45:00,2026-03-01 15:46:00,2026-03-08 03:24:00,Coverage Termination,Standard,TEAM-01,AN-006,Analyst Self-Select,0.0,Resolved,96,No,Missing documentation,No,Small Group,Yes,No,No,13.74,5.02,160.65,155.63,No,64.65,30,11,20,0,0,61,High
CS-2026-002623,2026-04-23 13:45:00,2026-04-23 14:19:00,2026-04-24 11:10:00,Benefits Inquiry,High,TEAM-01,AN-008,Auto-Routed,0.0,Resolved,48,Yes,Policy exception required,No,Mid-Market,No,No,No,3.0,0.57,21.42,20.85,Yes,,13,19,0,0,0,32,Moderate
CS-2026-009967,2026-06-30 14:00:00,2026-06-30 15:11:00,,Benefits Inquiry,Standard,TEAM-01,AN-009,Auto-Routed,0.0,In Progress,48,,,No,Mid-Market,No,No,No,3.75,1.18,,,,,13,11,0,0,0,24,Low
CS-2026-005339,2026-06-16 12:15:00,2026-06-16 13:09:00,2026-06-17 13:35:00,Benefits Inquiry,Urgent,TEAM-01,AN-002,Auto-Routed,0.0,Resolved,48,Yes,Missing documentation,No,Mid-Market,Yes,No,No,4.8,0.9,25.33,24.43,Yes,,13,25,20,0,0,58,High
CS-2026-006666,2026-03-31 08:30:00,2026-03-31 09:28:00,2026-04-01 10:59:00,Enrollment Change,Urgent,TEAM-03,AN-021,Auto-Routed,1.0,Resolved,24,No,Missing documentation,No,Enterprise,Yes,No,No,7.59,0.97,26.48,25.52,No,2.48,9,25,20,0,0,54,Moderate
CS-2026-002978,2026-02-10 09:15:00,2026-02-10 09:21:00,2026-02-12 05:15:00,Billing Correction,High,TEAM-05,AN-032,Auto-Routed,0.0,Resolved,72,Yes,External party delay,No,Individual,Yes,No,No,8.46,0.1,44.0,43.9,Yes,,17,19,20,0,0,56,High
CS-2026-008076,2026-01-31 13:45:00,2026-01-31 15:35:00,2026-02-01 21:25:00,Benefits Inquiry,High,TEAM-03,AN-018,Auto-Routed,0.0,Resolved,48,Yes,Missing documentation,No,Small Group,Yes,No,Yes,7.55,1.83,31.67,29.83,Yes,,13,19,20,0,10,62,High
CS-2026-015909,2026-04-25 14:45:00,2026-04-25 16:26:00,2026-04-27 09:54:00,Benefits Inquiry,Standard,TEAM-01,AN-006,Manual Triage,0.0,Resolved,48,Yes,No issue identified,No,Individual,No,No,No,4.86,1.68,43.15,41.47,Yes,,13,11,0,0,0,24,Low
CS-2026-007190,2026-06-14 12:45:00,2026-06-14 12:59:00,2026-06-15 15:05:00,Billing Correction,Urgent,TEAM-04,AN-024,Auto-Routed,0.0,Resolved,72,Yes,Missing documentation,No,Enterprise,Yes,No,No,8.09,0.23,26.33,26.1,Yes,,17,25,20,0,0,62,High
CS-2026-002946,2026-01-21 14:30:00,2026-01-21 15:12:00,2026-01-21 23:23:00,Enrollment Change,Urgent,TEAM-03,AN-020,Auto-Routed,0.0,Resolved,24,Yes,External party delay,No,Individual,No,No,No,2.83,0.7,8.88,8.18,Yes,,9,25,0,0,0,34,Moderate
CS-2026-012028,2026-03-17 17:45:00,2026-03-17 19:09:00,2026-03-19 00:32:00,Benefits Inquiry,High,TEAM-03,AN-021,Manual Triage,0.0,Resolved,48,Yes,Missing documentation,No,Mid-Market,Yes,No,No,5.78,1.4,30.78,29.38,Yes,,13,19,20,0,0,52,Moderate
CS-2026-001242,2026-03-14 12:15:00,2026-03-14 13:18:00,2026-03-16 01:53:00,Benefits Inquiry,Standard,TEAM-02,AN-016,Auto-Routed,1.0,Resolved,48,Yes,Incorrect initial routing,No,Mid-Market,Yes,No,No,8.35,1.05,37.63,36.58,Yes,,13,11,20,0,0,44,Moderate
CS-2026-014599,2026-05-13 11:30:00,2026-05-13 12:17:00,2026-05-17 09:26:00,Claims Dispute,Standard,TEAM-02,AN-014,Auto-Routed,1.0,Resolved,72,No,Policy exception required,No,Mid-Market,No,No,No,9.47,0.78,93.93,93.15,No,21.93,26,11,0,0,0,37,Moderate
CS-2026-011459,2026-04-18 16:45:00,2026-04-18 19:09:00,2026-04-19 23:27:00,Benefits Inquiry,Standard,TEAM-01,AN-002,Analyst Self-Select,0.0,Resolved,48,Yes,No issue identified,No,Individual,No,No,No,2.79,2.4,30.7,28.3,Yes,,13,11,0,0,0,24,Low
CS-2026-011049,2026-05-22 11:30:00,2026-05-22 13:23:00,2026-05-23 10:42:00,Enrollment Change,High,TEAM-03,AN-017,Auto-Routed,0.0,Resolved,24,Yes,Complex eligibility,No,Enterprise,No,No,No,2.97,1.88,23.2,21.32,Yes,,9,19,0,0,0,28,Low
CS-2026-005037,2026-03-07 14:45:00,2026-03-07 15:50:00,2026-03-08 18:45:00,Benefits Inquiry,Low,TEAM-01,AN-008,Auto-Routed,0.0,Resolved,48,Yes,Missing documentation,No,Mid-Market,No,No,No,3.68,1.08,28.0,26.92,Yes,,13,5,0,0,0,18,Low
CS-2026-001251,2026-06-28 15:45:00,2026-06-28 18:14:00,2026-06-29 08:50:00,Enrollment Change,High,TEAM-03,AN-022,Auto-Routed,0.0,Resolved,24,Yes,Policy exception required,No,Small Group,No,No,No,2.72,2.48,17.08,14.6,Yes,,9,19,0,0,0,28,Low
CS-2026-003613,2026-05-27 11:00:00,2026-05-27 11:30:00,2026-06-02 16:04:00,Claims Dispute,Low,TEAM-02,AN-012,Manual Triage,1.0,Resolved,72,No,Missing documentation,No,Small Group,Yes,No,No,10.71,0.5,149.07,148.57,No,77.07,26,5,20,0,0,51,Moderate
CS-2026-014387,2026-03-22 09:15:00,2026-03-22 11:15:00,2026-03-22 20:46:00,Benefits Inquiry,Urgent,TEAM-01,AN-004,Auto-Routed,0.0,Resolved,48,Yes,External party delay,No,Individual,No,No,Yes,4.11,2.0,11.52,9.52,Yes,,13,25,0,0,10,48,Moderate
CS-2026-006876,2026-04-27 14:00:00,2026-04-27 17:01:00,2026-04-30 08:56:00,Benefits Inquiry,Standard,TEAM-01,AN-008,Manual Triage,1.0,Resolved,48,No,Incorrect initial routing,No,Enterprise,No,No,Yes,6.1,3.02,66.93,63.92,No,18.93,13,11,0,0,10,34,Moderate
CS-2026-007199,2026-01-22 11:45:00,2026-01-22 13:18:00,2026-01-25 20:31:00,Benefits Inquiry,Low,TEAM-03,AN-018,Manual Triage,0.0,Resolved,48,No,External party delay,No,Small Group,No,No,No,4.4,1.55,80.77,79.22,No,32.77,13,5,0,0,0,18,Low
CS-2026-000948,2026-04-11 07:45:00,2026-04-11 07:59:00,2026-04-12 04:46:00,Billing Correction,High,TEAM-05,AN-030,Auto-Routed,0.0,Resolved,72,Yes,Missing documentation,No,Individual,Yes,No,No,5.5,0.23,21.02,20.78,Yes,,17,19,20,0,0,56,High
CS-2026-003917,2026-02-09 08:15:00,2026-02-09 11:35:00,2026-02-10 11:44:00,Billing Correction,Standard,TEAM-05,AN-031,Manual Triage,0.0,Resolved,72,Yes,No issue identified,No,Small Group,No,No,Yes,3.94,3.33,27.48,24.15,Yes,,17,11,0,0,10,38,Moderate
CS-2026-005480,2026-05-23 15:30:00,2026-05-23 22:28:00,2026-05-24 20:05:00,Billing Correction,Urgent,TEAM-05,AN-032,Analyst Self-Select,0.0,Resolved,72,Yes,Policy exception required,No,Enterprise,No,No,No,4.38,6.97,28.58,21.62,Yes,,17,25,0,0,0,42,Moderate
CS-2026-004678,2026-06-23 16:15:00,2026-06-23 17:02:00,2026-06-26 22:43:00,Coverage Termination,High,TEAM-01,AN-001,Auto-Routed,1.0,Resolved,96,Yes,Missing documentation,No,Mid-Market,No,No,No,9.77,0.78,78.47,77.68,Yes,,30,19,0,0,0,49,Moderate
CS-2026-003839,2026-05-19 15:00:00,2026-05-19 16:01:00,2026-05-22 17:25:00,Authorization Review,High,TEAM-04,AN-025,Auto-Routed,0.0,Resolved,48,No,Incorrect initial routing,No,Small Group,Yes,No,No,5.58,1.02,74.42,73.4,No,26.42,22,19,20,0,0,61,High
CS-2026-007593,2026-05-26 14:30:00,2026-05-26 21:55:00,2026-05-29 13:19:00,Billing Correction,Low,TEAM-05,AN-028,Analyst Self-Select,0.0,Resolved,72,Yes,Missing documentation,No,Small Group,Yes,No,No,7.27,7.42,70.82,63.4,Yes,,17,5,20,0,0,42,Moderate
CS-2026-014211,2026-02-10 10:00:00,2026-02-10 10:05:00,2026-02-12 04:34:00,Billing Correction,Standard,TEAM-05,AN-035,Auto-Routed,0.0,Resolved,72,Yes,Complex eligibility,No,Small Group,No,No,No,3.48,0.08,42.57,42.48,Yes,,17,11,0,0,0,28,Low
CS-2026-014974,2026-05-25 14:30:00,2026-05-25 14:48:00,2026-05-26 12:17:00,Benefits Inquiry,Standard,TEAM-01,AN-005,Auto-Routed,0.0,Resolved,48,Yes,Incorrect initial routing,No,Enterprise,No,Yes,No,5.11,0.3,21.78,21.48,Yes,,13,11,0,15,0,39,Moderate
CS-2026-007472,2026-04-19 16:30:00,2026-04-19 17:25:00,2026-04-20 18:05:00,Authorization Review,Urgent,TEAM-04,AN-024,Auto-Routed,0.0,Resolved,48,Yes,Missing documentation,No,Mid-Market,Yes,No,No,7.63,0.92,25.58,24.67,Yes,,22,25,20,0,0,67,High
CS-2026-006226,2026-04-30 13:00:00,2026-04-30 13:37:00,2026-05-01 09:10:00,Benefits Inquiry,Standard,TEAM-01,AN-006,Auto-Routed,1.0,Resolved,48,Yes,Complex eligibility,No,Mid-Market,No,No,Yes,5.47,0.62,20.17,19.55,Yes,,13,11,0,0,10,34,Moderate
CS-2026-010293,2026-03-09 08:30:00,2026-03-09 17:19:00,2026-03-11 03:03:00,Benefits Inquiry,High,TEAM-01,AN-004,Analyst Self-Select,1.0,Resolved,48,Yes,Missing documentation,No,Mid-Market,Yes,No,No,6.31,8.82,42.55,33.73,Yes,,13,19,20,0,0,52,Moderate
CS-2026-013517,2026-01-25 14:00:00,2026-01-25 14:29:00,2026-01-28 07:31:00,Coverage Termination,Standard,TEAM-01,AN-004,Auto-Routed,0.0,Resolved,96,Yes,No issue identified,No,Enterprise,Yes,No,No,11.18,0.48,65.52,65.03,Yes,,30,11,20,0,0,61,High
CS-2026-012135,2026-04-20 16:45:00,2026-04-20 16:55:00,2026-04-22 09:17:00,Claims Dispute,Standard,TEAM-01,AN-009,Auto-Routed,2.0,Resolved,72,Yes,Incorrect initial routing,No,Small Group,No,No,No,8.59,0.17,40.53,40.37,Yes,,26,11,0,0,0,37,Moderate
CS-2026-004628,2026-04-29 17:30:00,2026-04-29 22:28:00,2026-05-01 03:21:00,Claims Dispute,Standard,TEAM-02,AN-016,Analyst Self-Select,0.0,Resolved,72,Yes,Complex eligibility,No,Mid-Market,Yes,No,No,7.27,4.97,33.85,28.88,Yes,,26,11,20,0,0,57,High
CS-2026-001711,2026-02-18 09:00:00,2026-02-18 13:47:00,2026-02-20 06:21:00,Claims Dispute,High,TEAM-01,AN-007,Analyst Self-Select,1.0,Resolved,72,Yes,Incorrect initial routing,No,Mid-Market,No,No,No,10.75,4.78,45.35,40.57,Yes,,26,19,0,0,0,45,Moderate
CS-2026-002055,2026-01-12 16:15:00,2026-01-12 18:37:00,2026-01-15 17:13:00,Claims Dispute,Standard,TEAM-02,AN-016,Auto-Routed,1.0,Resolved,72,No,Missing documentation,Yes,Enterprise,Yes,No,No,14.66,2.37,72.97,70.6,No,0.97,26,11,20,0,0,57,High
CS-2026-012076,2026-03-12 16:00:00,2026-03-12 16:22:00,2026-03-15 02:37:00,Billing Correction,Standard,TEAM-01,AN-004,Auto-Routed,0.0,Resolved,72,Yes,External party delay,No,Mid-Market,No,Yes,Yes,5.03,0.37,58.62,58.25,Yes,,17,11,0,15,10,53,Moderate
CS-2026-002457,2026-02-27 13:00:00,2026-02-27 15:55:00,2026-02-28 14:33:00,Benefits Inquiry,High,TEAM-01,AN-003,Auto-Routed,0.0,Resolved,48,Yes,Policy exception required,No,Enterprise,No,No,No,4.67,2.92,25.55,22.63,Yes,,13,19,0,0,0,32,Moderate
CS-2026-010143,2026-04-10 08:00:00,2026-04-10 13:07:00,2026-04-12 07:11:00,Billing Correction,Low,TEAM-05,AN-028,Analyst Self-Select,0.0,Resolved,72,Yes,No issue identified,No,Enterprise,No,No,No,5.0,5.12,47.18,42.07,Yes,,17,5,0,0,0,22,Low
CS-2026-011593,2026-06-03 09:15:00,2026-06-03 09:26:00,2026-06-04 23:04:00,Enrollment Change,High,TEAM-03,AN-019,Auto-Routed,1.0,Resolved,24,No,Missing documentation,No,Enterprise,Yes,No,No,6.6,0.18,37.82,37.63,No,13.82,9,19,20,0,0,48,Moderate
CS-2026-011960,2026-01-05 11:15:00,2026-01-05 15:07:00,2026-01-10 16:03:00,Authorization Review,Low,TEAM-04,AN-026,Manual Triage,0.0,Resolved,48,No,Missing documentation,No,Small Group,No,No,No,5.14,3.87,124.8,120.93,No,76.8,22,5,0,0,0,27,Low
CS-2026-001271,2026-02-02 07:45:00,2026-02-02 09:10:00,2026-02-04 05:25:00,Billing Correction,Standard,TEAM-05,AN-028,Auto-Routed,1.0,Resolved,72,Yes,Complex eligibility,No,Small Group,No,No,No,7.78,1.42,45.67,44.25,Yes,,17,11,0,0,0,28,Low
CS-2026-006582,2026-03-13 09:15:00,2026-03-13 12:36:00,2026-03-16 23:30:00,Authorization Review,Standard,TEAM-04,AN-026,Analyst Self-Select,0.0,Resolved,48,No,No issue identified,No,Individual,No,No,No,5.62,3.35,86.25,82.9,No,38.25,22,11,0,0,0,33,Moderate
CS-2026-002704,2026-06-07 14:00:00,2026-06-07 16:09:00,2026-06-11 12:48:00,Authorization Review,Standard,TEAM-04,AN-025,Manual Triage,1.0,Resolved,48,No,External party delay,No,Individual,No,No,No,8.01,2.15,94.8,92.65,No,46.8,22,11,0,0,0,33,Moderate
CS-2026-014022,2026-06-06 14:15:00,2026-06-06 20:39:00,2026-06-07 07:22:00,Billing Correction,High,TEAM-05,AN-034,Manual Triage,0.0,Resolved,72,Yes,Incorrect initial routing,No,Mid-Market,No,No,No,4.06,6.4,17.12,10.72,Yes,,17,19,0,0,0,36,Moderate
CS-2026-015321,2026-04-23 14:15:00,2026-04-23 16:17:00,2026-04-24 09:26:00,Claims Dispute,High,TEAM-02,AN-011,Auto-Routed,0.0,Resolved,72,Yes,External party delay,No,Small Group,No,No,No,4.92,2.03,19.18,17.15,Yes,,26,19,0,0,0,45,Moderate
CS-2026-014909,2026-06-07 16:00:00,2026-06-07 18:24:00,2026-06-08 13:25:00,Benefits Inquiry,Standard,TEAM-01,AN-004,Manual Triage,0.0,Resolved,48,Yes,Policy exception required,No,Mid-Market,No,Yes,No,4.04,2.4,21.42,19.02,Yes,,13,11,0,15,0,39,Moderate
CS-2026-000177,2026-06-01 15:30:00,2026-06-01 17:57:00,2026-06-02 16:55:00,Benefits Inquiry,Urgent,TEAM-01,AN-001,Manual Triage,0.0,Resolved,48,Yes,System data gap,No,Small Group,No,No,No,6.01,2.45,25.42,22.97,Yes,,13,25,0,0,0,38,Moderate
CS-2026-000147,2026-02-24 07:45:00,2026-02-24 15:49:00,2026-02-25 19:51:00,Claims Dispute,High,TEAM-02,AN-010,Analyst Self-Select,0.0,Resolved,72,Yes,Policy exception required,No,Mid-Market,No,No,No,7.64,8.07,36.1,28.03,Yes,,26,19,0,0,0,45,Moderate
CS-2026-011902,2026-05-28 08:45:00,2026-05-28 14:37:00,2026-05-29 06:03:00,Billing Correction,High,TEAM-05,AN-031,Analyst Self-Select,0.0,Resolved,72,Yes,Policy exception required,No,Mid-Market,No,Yes,No,4.64,5.87,21.3,15.43,Yes,,17,19,0,15,0,51,Moderate
CS-2026-010526,2026-05-16 07:30:00,2026-05-16 08:51:00,2026-05-18 23:18:00,Enrollment Change,High,TEAM-03,AN-018,Auto-Routed,1.0,Resolved,24,No,Incorrect initial routing,No,Mid-Market,Yes,No,No,6.93,1.35,63.8,62.45,No,39.8,9,19,20,0,0,48,Moderate
CS-2026-015579,2026-05-23 16:00:00,2026-05-23 18:33:00,2026-05-25 23:28:00,Benefits Inquiry,Low,TEAM-01,AN-001,Manual Triage,0.0,Resolved,48,No,Incorrect initial routing,No,Small Group,No,Yes,No,6.64,2.55,55.47,52.92,No,7.47,13,5,0,15,0,33,Moderate
CS-2026-002022,2026-03-06 15:30:00,2026-03-06 16:07:00,2026-03-08 09:35:00,Benefits Inquiry,Standard,TEAM-01,AN-009,Auto-Routed,1.0,Resolved,48,Yes,No issue identified,Yes,Mid-Market,No,No,No,6.2,0.62,42.08,41.47,Yes,,13,11,0,0,0,24,Low
CS-2026-003128,2026-01-03 11:00:00,2026-01-03 12:12:00,2026-01-06 09:58:00,Authorization Review,Standard,TEAM-04,AN-023,Auto-Routed,0.0,Resolved,48,No,System data gap,No,Enterprise,No,No,No,4.27,1.2,70.97,69.77,No,22.97,22,11,0,0,0,33,Moderate
CS-2026-000272,2026-06-22 15:30:00,2026-06-22 20:25:00,2026-06-24 18:07:00,Billing Correction,Standard,TEAM-05,AN-029,Analyst Self-Select,1.0,Resolved,72,Yes,External party delay,No,Mid-Market,No,No,No,8.68,4.92,50.62,45.7,Yes,,17,11,0,0,0,28,Low
CS-2026-009935,2026-05-07 16:45:00,2026-05-07 18:58:00,2026-05-09 01:44:00,Billing Correction,Standard,TEAM-05,AN-033,Auto-Routed,0.0,Resolved,72,Yes,Missing documentation,No,Mid-Market,No,Yes,No,5.5,2.22,32.98,30.77,Yes,,17,11,0,15,0,43,Moderate
CS-2026-012018,2026-02-16 16:15:00,2026-02-16 16:19:00,2026-02-17 05:05:00,Benefits Inquiry,Standard,TEAM-01,AN-008,Auto-Routed,0.0,Resolved,48,Yes,External party delay,No,Small Group,No,No,No,2.43,0.07,12.83,12.77,Yes,,13,11,0,0,0,24,Low
CS-2026-001270,2026-01-17 12:00:00,2026-01-17 13:35:00,2026-01-18 06:44:00,Benefits Inquiry,Standard,TEAM-01,AN-005,Manual Triage,0.0,Resolved,48,Yes,System data gap,No,Small Group,No,No,No,3.08,1.58,18.73,17.15,Yes,,13,11,0,0,0,24,Low
CS-2026-015194,2026-05-04 12:45:00,2026-05-04 17:40:00,2026-05-05 17:12:00,Benefits Inquiry,High,TEAM-01,AN-003,Analyst Self-Select,1.0,Resolved,48,Yes,Policy exception required,No,Small Group,No,No,Yes,5.02,4.92,28.45,23.53,Yes,,13,19,0,0,10,42,Moderate
CS-2026-000339,2026-04-08 12:00:00,2026-04-08 16:12:00,2026-04-10 17:20:00,Claims Dispute,Urgent,TEAM-05,AN-029,Manual Triage,0.0,Resolved,72,Yes,Policy exception required,No,Small Group,No,Yes,No,12.55,4.2,53.33,49.13,Yes,,26,25,0,15,0,66,High
CS-2026-015398,2026-01-26 17:30:00,2026-01-26 20:12:00,2026-01-27 15:10:00,Claims Dispute,High,TEAM-02,AN-015,Manual Triage,0.0,Resolved,72,Yes,Missing documentation,No,Enterprise,Yes,No,No,7.35,2.7,21.67,18.97,Yes,,26,19,20,0,0,65,High
CS-2026-014624,2026-01-15 08:30:00,2026-01-15 14:06:00,2026-01-17 21:23:00,Billing Correction,Low,TEAM-05,AN-035,Analyst Self-Select,0.0,Resolved,72,Yes,Missing documentation,No,Mid-Market,Yes,No,No,3.84,5.6,60.88,55.28,Yes,,17,5,20,0,0,42,Moderate
CS-2026-013845,2026-01-10 12:30:00,2026-01-10 15:54:00,2026-01-11 01:50:00,Benefits Inquiry,High,TEAM-01,AN-004,Manual Triage,0.0,Resolved,48,Yes,No issue identified,No,Mid-Market,No,No,No,2.86,3.4,13.33,9.93,Yes,,13,19,0,0,0,32,Moderate
CS-2026-010797,2026-05-23 12:00:00,2026-05-23 12:42:00,2026-05-25 01:20:00,Enrollment Change,High,TEAM-03,AN-018,Auto-Routed,1.0,Resolved,24,No,Policy exception required,No,Small Group,No,Yes,No,6.15,0.7,37.33,36.63,No,13.33,9,19,0,15,0,43,Moderate
CS-2026-008255,2026-06-14 11:00:00,2026-06-14 15:31:00,2026-06-16 06:44:00,Enrollment Change,Standard,TEAM-02,AN-010,Manual Triage,1.0,Resolved,24,No,System data gap,No,Enterprise,Yes,No,No,8.14,4.52,43.73,39.22,No,19.73,9,11,20,0,0,40,Moderate
CS-2026-015305,2026-05-02 08:45:00,2026-05-02 09:41:00,2026-05-03 15:16:00,Authorization Review,High,TEAM-02,AN-015,Auto-Routed,0.0,Resolved,48,Yes,No issue identified,No,Individual,No,No,No,6.19,0.93,30.52,29.58,Yes,,22,19,0,0,0,41,Moderate
CS-2026-001886,2026-04-26 12:00:00,2026-04-26 17:06:00,2026-04-29 05:00:00,Coverage Termination,High,TEAM-01,AN-002,Manual Triage,0.0,Resolved,96,Yes,Incorrect initial routing,No,Small Group,Yes,No,No,13.05,5.1,65.0,59.9,Yes,,30,19,20,0,0,69,High
CS-2026-011933,2026-05-11 16:00:00,2026-05-11 18:13:00,2026-05-12 03:05:00,Billing Correction,Standard,TEAM-05,AN-033,Manual Triage,0.0,Resolved,72,Yes,Complex eligibility,No,Small Group,No,No,No,2.69,2.22,11.08,8.87,Yes,,17,11,0,0,0,28,Low
CS-2026-001233,2026-02-20 12:15:00,2026-02-20 12:22:00,2026-02-22 03:18:00,Benefits Inquiry,Standard,TEAM-01,AN-003,Auto-Routed,1.0,Resolved,48,Yes,Incorrect initial routing,No,Enterprise,No,No,No,6.88,0.12,39.05,38.93,Yes,,13,11,0,0,0,24,Low
CS-2026-001779,2026-01-08 10:45:00,2026-01-08 11:53:00,2026-01-09 11:44:00,Billing Correction,Standard,TEAM-05,AN-032,Auto-Routed,0.0,Resolved,72,Yes,Policy exception required,No,Small Group,No,No,No,3.74,1.13,24.98,23.85,Yes,,17,11,0,0,0,28,Low
CS-2026-013814,2026-04-11 16:45:00,2026-04-11 17:52:00,2026-04-17 19:49:00,Claims Dispute,Standard,TEAM-02,AN-011,Auto-Routed,1.0,Resolved,72,No,Incorrect initial routing,No,Small Group,Yes,No,No,13.84,1.12,147.07,145.95,No,75.07,26,11,20,0,0,57,High
CS-2026-001832,2026-02-20 15:45:00,2026-02-20 17:55:00,2026-02-22 19:44:00,Benefits Inquiry,High,TEAM-01,AN-009,Auto-Routed,1.0,Resolved,48,No,Incorrect initial routing,No,Small Group,Yes,No,No,6.31,2.17,51.98,49.82,No,3.98,13,19,20,0,0,52,Moderate
CS-2026-013613,2026-05-14 13:30:00,2026-05-14 15:28:00,2026-05-15 12:56:00,Claims Dispute,High,TEAM-02,AN-012,Auto-Routed,0.0,Resolved,72,Yes,System data gap,No,Mid-Market,No,No,No,5.74,1.97,23.43,21.47,Yes,,26,19,0,0,0,45,Moderate
CS-2026-010393,2026-04-09 14:00:00,2026-04-09 16:27:00,2026-04-10 06:50:00,Billing Correction,Urgent,TEAM-05,AN-028,Auto-Routed,0.0,Resolved,72,Yes,External party delay,No,Small Group,No,No,No,4.6,2.45,16.83,14.38,Yes,,17,25,0,0,0,42,Moderate
CS-2026-013873,2026-06-29 11:45:00,2026-06-29 13:29:00,2026-06-30 10:54:00,Enrollment Change,Standard,TEAM-03,AN-017,Auto-Routed,0.0,Resolved,24,Yes,Policy exception required,No,Mid-Market,No,No,No,2.94,1.73,23.15,21.42,Yes,,9,11,0,0,0,20,Low
CS-2026-008755,2026-02-24 10:00:00,2026-02-24 14:32:00,2026-02-25 03:11:00,Enrollment Change,Standard,TEAM-03,AN-021,Analyst Self-Select,0.0,Resolved,24,Yes,Missing documentation,No,Mid-Market,No,No,No,3.15,4.53,17.18,12.65,Yes,,9,11,0,0,0,20,Low
