Team_ID,Date,Analyst_Count,Available_Hours,Assigned_Case_Count,Average_Complexity,Open_Backlog,Backlog_Work_Hours
TEAM-03,2026-01-11,6,0.0,14,4.98,21,122.5
TEAM-04,2026-01-11,5,0.0,25,6.01,58,423.5
TEAM-05,2026-01-11,8,0.0,22,6.47,38,262.3
TEAM-01,2026-01-12,9,67.5,22,5.84,42,308.8
TEAM-02,2026-01-12,7,52.5,21,9.36,44,448.8
TEAM-03,2026-01-12,6,45.0,15,4.51,24,136.5
TEAM-04,2026-01-12,5,37.5,12,6.48,54,409.3
TEAM-05,2026-01-12,8,60.0,13,4.81,33,228.4
TEAM-01,2026-01-13,9,67.5,38,6.76,57,410.1
TEAM-02,2026-01-13,7,52.5,17,7.34,53,504.5
TEAM-03,2026-01-13,6,45.0,17,4.5,25,142.1
TEAM-04,2026-01-13,5,37.5,16,6.24,58,431.8
TEAM-05,2026-01-13,8,60.0,20,5.97,39,269.6
TEAM-01,2026-01-14,9,67.5,23,7.88,53,443.6
TEAM-02,2026-01-14,7,52.5,18,9.81,58,585.7
TEAM-03,2026-01-14,6,45.0,16,4.53,25,137.6
TEAM-04,2026-01-14,5,37.5,11,5.63,50,351.4
TEAM-05,2026-01-14,8,60.0,13,5.56,26,185.3
TEAM-01,2026-01-15,9,67.5,20,7.89,42,399.3
TEAM-02,2026-01-15,7,52.5,20,8.81,53,516.1
TEAM-03,2026-01-15,6,45.0,12,4.01,22,115.5
TEAM-04,2026-01-15,5,37.5,18,5.35,52,346.2
TEAM-05,2026-01-15,8,60.0,17,6.38,30,203.6
TEAM-01,2026-01-16,9,67.5,28,8.23,54,504.4
TEAM-02,2026-01-16,7,52.5,15,7.71,49,462.1
TEAM-03,2026-01-16,6,45.0,17,5.15,20,113.9
TEAM-04,2026-01-16,5,37.5,8,7.13,47,340.5
TEAM-05,2026-01-16,8,60.0,17,5.32,32,214.0
TEAM-01,2026-01-17,9,0.0,33,5.83,65,532.8
TEAM-02,2026-01-17,7,0.0,10,8.14,45,426.6
TEAM-03,2026-01-17,6,0.0,23,4.33,30,160.0
TEAM-04,2026-01-17,5,0.0,15,6.24,41,306.0
TEAM-05,2026-01-17,8,0.0,15,5.75,29,195.1
TEAM-01,2026-01-18,9,0.0,28,6.8,54,486.0
TEAM-02,2026-01-18,7,0.0,20,9.01,44,439.1
TEAM-03,2026-01-18,6,0.0,14,4.73,23,139.1
TEAM-04,2026-01-18,5,0.0,11,5.98,41,302.7
TEAM-05,2026-01-18,8,0.0,19,6.02,31,194.2
TEAM-01,2026-01-19,9,67.5,26,6.71,56,506.1
TEAM-02,2026-01-19,7,52.5,19,8.83,46,459.7
TEAM-03,2026-01-19,6,45.0,12,4.72,18,93.0
TEAM-04,2026-01-19,5,37.5,4,7.43,35,257.2
TEAM-05,2026-01-19,8,60.0,16,6.56,32,218.9
TEAM-01,2026-01-20,9,67.5,29,6.05,63,535.8
TEAM-02,2026-01-20,7,52.5,9,6.36,37,375.5
TEAM-03,2026-01-20,6,45.0,22,4.01,27,126.6
TEAM-04,2026-01-20,5,37.5,10,6.92,34,262.7
TEAM-05,2026-01-20,8,60.0,9,6.08,21,154.6
TEAM-01,2026-01-21,9,67.5,39,6.67,72,603.7
TEAM-02,2026-01-21,7,52.5,17,8.88,40,413.4
TEAM-03,2026-01-21,6,45.0,22,4.57,29,154.3
TEAM-04,2026-01-21,5,37.5,7,5.66,33,241.8
TEAM-05,2026-01-21,8,60.0,11,5.5,25,168.8
TEAM-01,2026-01-22,9,67.5,23,6.97,61,529.8
TEAM-02,2026-01-22,7,52.5,19,8.57,45,441.4
TEAM-03,2026-01-22,6,45.0,15,4.37,19,102.8
TEAM-04,2026-01-22,5,37.5,9,5.92,31,229.5
TEAM-05,2026-01-22,8,60.0,12,5.1,19,122.2
TEAM-01,2026-01-23,9,67.5,25,6.04,56,492.4
TEAM-02,2026-01-23,7,52.5,13,8.17,44,436.6
TEAM-03,2026-01-23,6,45.0,12,4.5,19,97.2
TEAM-04,2026-01-23,5,37.5,15,7.03,31,229.6
TEAM-05,2026-01-23,8,60.0,20,6.41,26,170.0
TEAM-01,2026-01-24,9,0.0,20,6.45,46,412.8
TEAM-02,2026-01-24,7,0.0,15,8.11,44,419.5
TEAM-03,2026-01-24,6,0.0,14,4.68,20,114.0
TEAM-04,2026-01-24,5,0.0,9,6.29,29,214.3
TEAM-05,2026-01-24,8,0.0,18,5.49,31,196.6
TEAM-01,2026-01-25,9,0.0,31,5.75,57,451.3
TEAM-02,2026-01-25,7,0.0,12,9.06,39,380.9
TEAM-03,2026-01-25,6,0.0,19,4.34,26,151.4
TEAM-04,2026-01-25,5,0.0,12,7.16,35,260.6
TEAM-05,2026-01-25,8,0.0,13,5.4,30,189.6
TEAM-01,2026-01-26,9,67.5,29,6.24,52,385.4
TEAM-02,2026-01-26,7,52.5,15,9.4,40,408.2
TEAM-03,2026-01-26,6,45.0,14,4.05,21,124.0
TEAM-04,2026-01-26,5,37.5,14,6.22,40,285.9
TEAM-05,2026-01-26,8,60.0,13,6.11,26,168.5
TEAM-01,2026-01-27,9,67.5,19,6.51,45,347.3
TEAM-02,2026-01-27,7,52.5,19,10.12,42,451.4
TEAM-03,2026-01-27,6,45.0,25,4.67,33,185.9
TEAM-04,2026-01-27,5,37.5,11,6.89,37,273.7
TEAM-05,2026-01-27,8,60.0,15,6.18,27,191.9
TEAM-01,2026-01-28,9,67.5,25,6.91,44,347.1
TEAM-02,2026-01-28,7,52.5,13,8.14,43,426.0
TEAM-03,2026-01-28,6,45.0,15,4.27,30,162.5
TEAM-04,2026-01-28,5,37.5,15,6.23,43,315.0
TEAM-05,2026-01-28,8,60.0,15,5.3,28,178.6
TEAM-01,2026-01-29,9,67.5,35,6.57,54,403.0
TEAM-02,2026-01-29,7,52.5,21,9.03,47,463.0
TEAM-03,2026-01-29,6,45.0,15,5.08,22,134.5
TEAM-04,2026-01-29,5,37.5,12,6.96,44,328.4
TEAM-05,2026-01-29,8,60.0,19,6.59,32,209.0
TEAM-01,2026-01-30,9,67.5,29,6.03,54,406.6
TEAM-02,2026-01-30,7,52.5,9,8.83,39,392.8
TEAM-03,2026-01-30,6,45.0,14,3.55,19,101.5
TEAM-04,2026-01-30,5,37.5,10,6.28,38,287.1
TEAM-05,2026-01-30,8,60.0,16,6.14,34,222.3
TEAM-01,2026-01-31,9,0.0,43,7.09,64,539.7
TEAM-02,2026-01-31,7,0.0,15,8.31,39,373.6
TEAM-03,2026-01-31,6,0.0,13,4.09,17,77.2
TEAM-04,2026-01-31,5,0.0,13,5.77,43,322.3
TEAM-05,2026-01-31,8,0.0,20,6.27,37,247.4
TEAM-01,2026-02-01,9,0.0,33,7.28,67,587.3
TEAM-02,2026-02-01,7,0.0,18,7.67,47,436.6
TEAM-03,2026-02-01,6,0.0,15,5.86,17,108.3
TEAM-04,2026-02-01,5,0.0,9,6.72,41,301.6
TEAM-05,2026-02-01,8,0.0,15,5.91,33,215.0
TEAM-01,2026-02-02,9,67.5,31,6.17,69,582.4
TEAM-02,2026-02-02,7,52.5,15,10.11,39,387.2
TEAM-03,2026-02-02,6,45.0,12,4.06,18,103.2
TEAM-04,2026-02-02,5,37.5,14,6.52,45,333.1
TEAM-05,2026-02-02,8,60.0,23,5.36,39,236.3
TEAM-01,2026-02-03,9,67.5,27,6.79,69,594.3
TEAM-02,2026-02-03,7,52.5,17,7.25,36,328.1
TEAM-03,2026-02-03,6,45.0,12,3.99,16,95.2
TEAM-04,2026-02-03,5,37.5,8,6.86,41,326.4
TEAM-05,2026-02-03,8,60.0,9,6.1,28,174.0
TEAM-01,2026-02-04,9,67.5,22,6.04,56,469.3
TEAM-02,2026-02-04,7,52.5,24,7.88,44,377.6
TEAM-03,2026-02-04,6,45.0,17,3.99,24,109.6
TEAM-04,2026-02-04,5,37.5,12,7.49,38,310.2
TEAM-05,2026-02-04,8,60.0,22,6.18,37,246.8
TEAM-01,2026-02-05,9,67.5,25,5.83,49,379.7
TEAM-02,2026-02-05,7,52.5,15,8.29,43,397.2
TEAM-03,2026-02-05,6,45.0,16,4.26,21,100.5
TEAM-04,2026-02-05,5,37.5,16,6.84,44,339.3
TEAM-05,2026-02-05,8,60.0,13,5.42,25,168.4
TEAM-01,2026-02-06,9,67.5,26,5.44,49,362.8
TEAM-02,2026-02-06,7,52.5,11,9.46,34,333.0
TEAM-03,2026-02-06,6,45.0,18,5.31,23,126.7
TEAM-04,2026-02-06,5,37.5,9,6.82,40,323.3
TEAM-05,2026-02-06,8,60.0,11,6.46,24,169.0
TEAM-01,2026-02-07,9,0.0,29,5.47,49,340.3
TEAM-02,2026-02-07,7,0.0,19,8.13,39,373.4
TEAM-03,2026-02-07,6,0.0,17,3.85,25,130.2
TEAM-04,2026-02-07,5,0.0,9,6.74,43,339.8
TEAM-05,2026-02-07,8,0.0,23,4.83,30,177.0
TEAM-01,2026-02-08,9,0.0,34,5.53,58,383.5
TEAM-02,2026-02-08,7,0.0,22,9.06,49,462.5
TEAM-03,2026-02-08,6,0.0,16,4.57,24,125.7
TEAM-04,2026-02-08,5,0.0,9,6.4,40,313.4
TEAM-05,2026-02-08,8,0.0,10,5.65,25,151.6
TEAM-01,2026-02-09,9,67.5,22,6.57,48,358.5
TEAM-02,2026-02-09,7,52.5,10,9.44,41,419.3
TEAM-03,2026-02-09,6,45.0,27,4.44,31,168.7
TEAM-04,2026-02-09,5,37.5,12,5.17,33,244.3
TEAM-05,2026-02-09,8,60.0,14,5.67,29,180.3
TEAM-01,2026-02-10,9,67.5,33,6.22,51,386.7
TEAM-02,2026-02-10,7,52.5,15,9.02,35,370.8
TEAM-03,2026-02-10,6,45.0,12,4.48,24,152.1
TEAM-04,2026-02-10,5,37.5,11,6.76,37,284.1
TEAM-05,2026-02-10,8,60.0,14,5.46,26,174.9
TEAM-01,2026-02-11,9,67.5,28,6.56,53,405.0
TEAM-02,2026-02-11,7,52.5,21,9.45,48,508.0
TEAM-03,2026-02-11,6,45.0,18,3.92,25,151.4
TEAM-04,2026-02-11,5,37.5,14,6.94,42,329.7
TEAM-05,2026-02-11,8,60.0,11,6.64,24,170.0
TEAM-01,2026-02-12,9,67.5,33,7.08,57,480.9
TEAM-02,2026-02-12,7,52.5,15,8.65,54,542.5
TEAM-03,2026-02-12,6,45.0,13,3.53,26,146.0
TEAM-04,2026-02-12,5,37.5,16,6.43,42,317.7
TEAM-05,2026-02-12,8,60.0,16,6.96,26,196.0
TEAM-01,2026-02-13,9,67.5,29,5.97,59,491.1
TEAM-02,2026-02-13,7,52.5,17,9.09,50,503.4
TEAM-03,2026-02-13,6,45.0,17,4.26,22,102.8
TEAM-04,2026-02-13,5,37.5,9,7.25,39,300.7
TEAM-05,2026-02-13,8,60.0,14,6.39,33,237.0
TEAM-01,2026-02-14,9,0.0,22,7.97,58,543.6
TEAM-02,2026-02-14,7,0.0,14,9.55,50,496.5
TEAM-03,2026-02-14,6,0.0,14,4.12,21,105.1
TEAM-04,2026-02-14,5,0.0,14,6.18,42,312.2
TEAM-05,2026-02-14,8,0.0,22,6.57,38,273.2
TEAM-01,2026-02-15,9,0.0,27,6.66,61,566.7
TEAM-02,2026-02-15,7,0.0,22,8.65,56,532.8
TEAM-03,2026-02-15,6,0.0,13,4.34,17,81.5
TEAM-04,2026-02-15,5,0.0,13,6.5,44,337.1
TEAM-05,2026-02-15,8,0.0,16,4.94,35,229.9
TEAM-01,2026-02-16,9,67.5,30,5.7,63,542.1
TEAM-02,2026-02-16,7,52.5,17,9.01,52,517.3
TEAM-03,2026-02-16,6,45.0,12,4.08,14,66.2
TEAM-04,2026-02-16,5,37.5,8,6.29,34,266.5
TEAM-05,2026-02-16,8,60.0,20,5.5,32,215.0
TEAM-01,2026-02-17,9,67.5,36,5.56,66,493.3
TEAM-02,2026-02-17,7,52.5,16,7.28,50,465.6
TEAM-03,2026-02-17,6,45.0,15,4.51,18,82.0
TEAM-04,2026-02-17,5,37.5,10,5.93,34,254.8
TEAM-05,2026-02-17,8,60.0,6,6.48,24,184.1
TEAM-01,2026-02-18,9,67.5,25,5.74,51,384.2
TEAM-02,2026-02-18,7,52.5,13,8.42,46,425.4
TEAM-03,2026-02-18,6,45.0,18,3.99,24,107.4
TEAM-04,2026-02-18,5,37.5,12,7.42,35,261.8
TEAM-05,2026-02-18,8,60.0,10,6.05,22,172.2
TEAM-01,2026-02-19,9,67.5,27,5.68,51,390.3
TEAM-02,2026-02-19,7,52.5,17,9.56,41,411.7
TEAM-03,2026-02-19,6,45.0,10,4.19,16,85.3
TEAM-04,2026-02-19,5,37.5,11,7.28,36,275.5
TEAM-05,2026-02-19,8,60.0,18,5.5,31,215.9
TEAM-01,2026-02-20,9,67.5,34,7.72,57,444.6
TEAM-02,2026-02-20,7,52.5,15,8.6,41,412.9
TEAM-03,2026-02-20,6,45.0,16,4.12,21,100.6
TEAM-04,2026-02-20,5,37.5,11,7.14,35,275.1
TEAM-05,2026-02-20,8,60.0,15,6.3,28,200.1
TEAM-01,2026-02-21,9,0.0,25,5.32,60,453.0
TEAM-02,2026-02-21,7,0.0,23,7.39,47,421.1
TEAM-03,2026-02-21,6,0.0,19,4.72,22,114.6
TEAM-04,2026-02-21,5,0.0,13,4.8,39,279.3
TEAM-05,2026-02-21,8,0.0,13,5.87,26,188.4
TEAM-01,2026-02-22,9,0.0,31,5.96,55,433.8
TEAM-02,2026-02-22,7,0.0,22,7.61,55,461.6
TEAM-03,2026-02-22,6,0.0,16,4.25,23,113.8
TEAM-04,2026-02-22,5,0.0,15,6.05,45,314.3
TEAM-05,2026-02-22,8,0.0,14,6.19,22,148.9
TEAM-01,2026-02-23,9,67.5,22,7.54,48,416.1
TEAM-02,2026-02-23,7,52.5,27,8.72,59,530.9
TEAM-03,2026-02-23,6,45.0,20,4.44,27,147.2
TEAM-04,2026-02-23,5,37.5,8,7.4,40,294.7
TEAM-05,2026-02-23,8,60.0,14,7.29,22,161.1
TEAM-01,2026-02-24,9,67.5,26,5.21,53,419.3
TEAM-02,2026-02-24,7,52.5,19,9.1,58,544.6
TEAM-03,2026-02-24,6,45.0,9,3.64,16,86.2
TEAM-04,2026-02-24,5,37.5,9,6.16,34,258.4
TEAM-05,2026-02-24,8,60.0,14,6.66,25,194.2
TEAM-01,2026-02-25,9,67.5,20,6.47,46,353.3
TEAM-02,2026-02-25,7,52.5,24,8.34,63,575.7
TEAM-03,2026-02-25,6,45.0,24,4.52,26,134.9
TEAM-04,2026-02-25,5,37.5,12,7.67,35,278.4
TEAM-05,2026-02-25,8,60.0,15,5.62,30,218.6
TEAM-01,2026-02-26,9,67.5,34,7.13,56,422.9
TEAM-02,2026-02-26,7,52.5,14,7.85,54,495.2
TEAM-03,2026-02-26,6,45.0,22,4.42,33,164.7
TEAM-04,2026-02-26,5,37.5,10,5.76,36,277.8
TEAM-05,2026-02-26,8,60.0,11,5.75,24,194.5
TEAM-01,2026-02-27,9,67.5,36,5.29,67,484.3
TEAM-02,2026-02-27,7,52.5,10,7.83,43,401.6
TEAM-03,2026-02-27,6,45.0,16,4.77,28,148.8
TEAM-04,2026-02-27,5,37.5,10,5.23,34,250.5
TEAM-05,2026-02-27,8,60.0,12,5.88,26,187.4
TEAM-01,2026-02-28,9,0.0,31,5.49,68,471.0
TEAM-02,2026-02-28,7,0.0,20,7.89,42,396.6
TEAM-03,2026-02-28,6,0.0,32,4.28,37,192.4
TEAM-04,2026-02-28,5,0.0,17,5.97,42,294.3
TEAM-05,2026-02-28,8,0.0,13,4.85,28,178.8
TEAM-01,2026-03-01,9,0.0,25,6.48,66,493.1
TEAM-02,2026-03-01,7,0.0,15,8.85,38,372.8
TEAM-03,2026-03-01,6,0.0,24,4.67,38,195.1
TEAM-04,2026-03-01,5,0.0,9,7.26,37,280.4
TEAM-05,2026-03-01,8,0.0,15,4.99,24,160.1
TEAM-01,2026-03-02,9,67.5,21,6.52,52,426.1
TEAM-02,2026-03-02,7,52.5,15,8.61,41,393.6
TEAM-03,2026-03-02,6,45.0,22,4.59,33,181.6
TEAM-04,2026-03-02,5,37.5,10,6.22,32,235.6
TEAM-05,2026-03-02,8,60.0,14,7.17,24,180.3
TEAM-01,2026-03-03,9,67.5,21,5.9,47,371.0
TEAM-02,2026-03-03,7,52.5,19,7.78,42,390.3
TEAM-03,2026-03-03,6,45.0,22,4.41,35,173.8
TEAM-04,2026-03-03,5,37.5,9,6.51,30,226.6
TEAM-05,2026-03-03,8,60.0,11,5.89,24,169.1
TEAM-01,2026-03-04,9,67.5,38,7.06,64,515.8
TEAM-02,2026-03-04,7,52.5,19,8.63,47,430.8
TEAM-03,2026-03-04,6,45.0,16,4.97,24,138.3
TEAM-04,2026-03-04,5,37.5,21,6.46,43,308.9
TEAM-05,2026-03-04,8,60.0,8,5.9,20,134.8
TEAM-01,2026-03-05,9,67.5,18,8.42,60,504.0
TEAM-02,2026-03-05,7,52.5,10,8.71,32,294.5
TEAM-03,2026-03-05,6,45.0,10,3.94,19,112.9
TEAM-04,2026-03-05,5,37.5,23,6.43,56,394.1
TEAM-05,2026-03-05,8,60.0,14,8.28,22,175.6
TEAM-01,2026-03-06,9,67.5,27,5.65,59,472.6
TEAM-02,2026-03-06,7,52.5,21,8.96,41,375.9
TEAM-03,2026-03-06,6,45.0,29,4.29,31,138.0
TEAM-04,2026-03-06,5,37.5,10,5.55,44,315.6
TEAM-05,2026-03-06,8,60.0,14,7.01,27,211.8
TEAM-01,2026-03-07,9,0.0,23,6.9,61,512.3
TEAM-02,2026-03-07,7,0.0,14,10.6,40,406.4
TEAM-03,2026-03-07,6,0.0,19,3.78,25,113.5
TEAM-04,2026-03-07,5,0.0,14,7.05,43,334.7
TEAM-05,2026-03-07,8,0.0,9,4.83,24,182.8
TEAM-01,2026-03-08,9,0.0,28,6.34,57,479.0
TEAM-02,2026-03-08,7,0.0,16,8.35,40,412.1
TEAM-03,2026-03-08,6,0.0,19,3.72,20,80.6
TEAM-04,2026-03-08,5,0.0,9,6.72,37,276.2
TEAM-05,2026-03-08,8,0.0,13,5.37,23,162.1
TEAM-01,2026-03-09,9,67.5,18,7.22,44,401.6
TEAM-02,2026-03-09,7,52.5,19,8.1,44,431.4
TEAM-03,2026-03-09,6,45.0,17,4.67,17,91.5
TEAM-04,2026-03-09,5,37.5,14,5.57,39,282.4
TEAM-05,2026-03-09,8,60.0,20,5.1,30,192.3
TEAM-01,2026-03-10,9,67.5,30,7.04,55,481.7
TEAM-02,2026-03-10,7,52.5,17,8.51,50,495.1
TEAM-03,2026-03-10,6,45.0,14,4.58,19,102.2
TEAM-04,2026-03-10,5,37.5,17,5.87,47,317.2
TEAM-05,2026-03-10,8,60.0,17,5.73,26,170.3
TEAM-01,2026-03-11,9,67.5,21,5.93,48,417.9
TEAM-02,2026-03-11,7,52.5,14,9.32,46,472.5
TEAM-03,2026-03-11,6,45.0,16,4.14,25,131.1
TEAM-04,2026-03-11,5,37.5,12,5.58,43,299.8
TEAM-05,2026-03-11,8,60.0,10,7.87,26,202.7
TEAM-01,2026-03-12,9,67.5,31,8.01,59,539.1
TEAM-02,2026-03-12,7,52.5,19,9.96,47,489.9
TEAM-03,2026-03-12,6,45.0,16,4.5,22,123.5
TEAM-04,2026-03-12,5,37.5,12,7.72,40,291.2
TEAM-05,2026-03-12,8,60.0,16,5.68,27,202.7
TEAM-01,2026-03-13,9,67.5,27,6.83,67,598.6
TEAM-02,2026-03-13,7,52.5,17,8.78,53,535.8
TEAM-03,2026-03-13,6,45.0,17,5.46,24,136.8
TEAM-04,2026-03-13,5,37.5,14,7.1,42,316.3
TEAM-05,2026-03-13,8,60.0,14,5.48,28,185.3
TEAM-01,2026-03-14,9,0.0,27,6.07,64,540.0
TEAM-02,2026-03-14,7,0.0,23,7.7,58,564.9
TEAM-03,2026-03-14,6,0.0,18,4.68,23,143.7
TEAM-04,2026-03-14,5,0.0,17,6.82,46,346.1
TEAM-05,2026-03-14,8,0.0,16,5.08,27,150.2
TEAM-01,2026-03-15,9,0.0,24,5.69,56,481.6
TEAM-02,2026-03-15,7,0.0,22,8.33,58,545.4
TEAM-03,2026-03-15,6,0.0,16,3.99,28,154.0
TEAM-04,2026-03-15,5,0.0,10,5.14,48,346.0
TEAM-05,2026-03-15,8,0.0,15,4.94,29,158.8
TEAM-01,2026-03-16,9,67.5,31,6.76,64,541.1
TEAM-02,2026-03-16,7,52.5,16,9.09,48,458.9
TEAM-03,2026-03-16,6,45.0,17,4.46,23,127.8
TEAM-04,2026-03-16,5,37.5,12,7.08,45,345.5
TEAM-05,2026-03-16,8,60.0,15,7.92,29,208.8
TEAM-01,2026-03-17,9,67.5,26,6.07,59,521.8
TEAM-02,2026-03-17,7,52.5,12,7.55,41,392.8
TEAM-03,2026-03-17,6,45.0,21,4.38,27,146.5
TEAM-04,2026-03-17,5,37.5,11,5.48,44,328.9
TEAM-05,2026-03-17,8,60.0,9,5.52,28,199.7
TEAM-01,2026-03-18,9,67.5,28,6.55,54,442.3
TEAM-02,2026-03-18,7,52.5,19,8.69,41,384.7
TEAM-03,2026-03-18,6,45.0,17,4.59,28,152.6
TEAM-04,2026-03-18,5,37.5,12,6.83,40,304.0
TEAM-05,2026-03-18,8,60.0,14,5.31,23,146.6
TEAM-01,2026-03-19,9,67.5,29,6.17,60,481.0
TEAM-02,2026-03-19,7,52.5,15,8.61,43,405.0
TEAM-03,2026-03-19,6,45.0,17,4.04,26,145.6
TEAM-04,2026-03-19,5,37.5,10,6.54,40,292.6
TEAM-05,2026-03-19,8,60.0,16,5.53,24,146.9
TEAM-01,2026-03-20,9,67.5,32,6.41,67,538.4
TEAM-02,2026-03-20,7,52.5,23,8.91,47,438.4
TEAM-03,2026-03-20,6,45.0,11,4.03,16,89.5
TEAM-04,2026-03-20,5,37.5,14,6.68,39,277.6
TEAM-05,2026-03-20,8,60.0,15,5.75,25,159.5
TEAM-01,2026-03-21,9,0.0,25,5.95,59,473.6
TEAM-02,2026-03-21,7,0.0,15,10.0,44,426.5
TEAM-03,2026-03-21,6,0.0,19,5.43,29,169.4
TEAM-04,2026-03-21,5,0.0,10,7.69,39,290.2
TEAM-05,2026-03-21,8,0.0,17,6.58,29,192.0
TEAM-01,2026-03-22,9,0.0,20,7.21,46,408.2
TEAM-02,2026-03-22,7,0.0,24,8.63,53,512.0
TEAM-03,2026-03-22,6,0.0,12,4.07,21,123.4
TEAM-04,2026-03-22,5,0.0,20,6.5,49,354.5
TEAM-05,2026-03-22,8,0.0,19,6.44,34,234.6
TEAM-01,2026-03-23,9,67.5,34,6.98,54,466.3
TEAM-02,2026-03-23,7,52.5,19,10.28,51,552.9
TEAM-03,2026-03-23,6,45.0,16,3.78,23,115.2
TEAM-04,2026-03-23,5,37.5,11,6.33,46,350.4
TEAM-05,2026-03-23,8,60.0,10,6.66,28,209.5
TEAM-01,2026-03-24,9,67.5,25,6.44,58,469.1
TEAM-02,2026-03-24,7,52.5,16,7.82,48,500.0
TEAM-03,2026-03-24,6,45.0,14,3.43,19,93.3
TEAM-04,2026-03-24,5,37.5,11,7.12,49,364.7
TEAM-05,2026-03-24,8,60.0,11,5.37,20,153.8
TEAM-01,2026-03-25,9,67.5,34,7.52,65,542.0
TEAM-02,2026-03-25,7,52.5,16,7.54,45,448.4
TEAM-03,2026-03-25,6,45.0,18,3.69,23,98.8
TEAM-04,2026-03-25,5,37.5,9,5.76,40,301.0
TEAM-05,2026-03-25,8,60.0,11,5.96,20,138.4
TEAM-01,2026-03-26,9,67.5,29,7.15,64,558.9
TEAM-02,2026-03-26,7,52.5,19,8.3,44,443.5
TEAM-03,2026-03-26,6,45.0,17,4.97,24,122.1
TEAM-04,2026-03-26,5,37.5,12,7.08,40,304.7
TEAM-05,2026-03-26,8,60.0,19,5.0,31,192.9
TEAM-01,2026-03-27,9,67.5,21,6.94,66,572.1
TEAM-02,2026-03-27,7,52.5,23,8.44,53,523.9
TEAM-03,2026-03-27,6,45.0,13,4.28,23,121.1
TEAM-04,2026-03-27,5,37.5,16,7.17,46,351.4
TEAM-05,2026-03-27,8,60.0,15,6.51,29,197.0
TEAM-01,2026-03-28,9,0.0,22,6.09,55,475.8
TEAM-02,2026-03-28,7,0.0,16,9.47,43,429.7
TEAM-03,2026-03-28,6,0.0,12,5.75,18,107.8
TEAM-04,2026-03-28,5,0.0,11,7.48,45,365.5
TEAM-05,2026-03-28,8,0.0,16,5.99,27,186.6
TEAM-01,2026-03-29,9,0.0,16,6.72,43,394.8
TEAM-02,2026-03-29,7,0.0,19,8.3,43,410.7
TEAM-03,2026-03-29,6,0.0,21,4.12,31,166.6
